Node,Max Depth (ft)
CON_Discharge4u,21.44504122210897
CON_Discharge5u,21.44504155071505
CON_Discharge6u,0.0
CON_Discharge7u,0.0
CON_Discharge8u,0.0
CON_Discharge9u,158.08431332765295
CON_DischargeD,20.193864427404016
CON_DischargeD2,21.848901396068648
CON_SanDisChamber,43.9999
CUSH-1,16.489021878896473
CUSH-3,8.749766255964214
DAV-1,24.489261523419085
DAV-3,20.610810522680573
DAV-4,18.53
DAV-6,10.394974273821239
DN1000,1.1325577223036745
DN100113,0.23877395765487064
DN100120,0.46348021432131115
DN100122,0.306521178496496
DN100125,0.18142896929607355
DN100140,0.0036004441492698594
DN100141,0.4118918682101547
DN100145,0.2292437975513208
DN100150,0.48845001541840516
DN1006,0.06495301690228261
DN1007,0.06602138280140024
DN1008,0.06709080427180036
DN100805,0.05263103380717521
DN100806,0.4838262162415973
DN100843,0.8166009369614688
DN100844,0.6268232978212571
DN100844B,0.5603505015254544
DN100845,0.6681794803096053
DN100846,0.7021067835556719
DN100853,0.7034803392860296
DN100854,0.36167933047132284
DN100854B,0.32076211102672536
DN100855,0.18659952168856753
DN100856,0.6385737743836857
DN1009,0.11685004294537593
DN100906,1.2658151464963505
DN100910,1.3805151219684881
DN100915,1.0346997516827894
DN100918,0.6745818148064142
DN100920,0.3903552042165175
DN100925,0.12189562586477037
DN1009294,0.16815013187155448
DN1009300,0.20321263884776447
DN1009301,0.3363092677368166
DN100935,0.2897006482557367
DN1009350,0.16801325956787633
DN1009351,0.18638086395558734
DN1009352,0.4187049260843342
DN1009353,0.21960167112832246
DN1009354,0.2900402910928431
DN1009355,0.24882071347150453
DN1009356,0.2897204805171284
DN1009357,0.2601420450061056
DN1009359,0.45034613359297915
DN101,26.51471632804281
DN1010,0.13681241425718316
DN101151,0.3998624877811403
DN101152,0.35768451243845817
DN101153,0.4562134327986067
DN101222,0.3237971864171285
DN101223,0.3668070392902335
DN101251,0.417839230300716
DN101252,0.49388345883846485
DN101311B,0.41920876947458074
DN101314B,0.3895948249288907
DN1014,0.017580707245827182
DN101485B,0.6249915454341707
DN101489,0.23387549431802945
DN1015,0.07332666217929454
DN101501,0.4227915991986176
DN101502,0.35802009369002513
DN101503,0.4227915991986176
DN101504,0.15302775414993963
DN101510,0.20122534980355133
DN101515,0.5770757644004685
DN101516,0.9312538455256676
DN101530,0.2573859437440036
DN101535,0.23835972450123877
DN101536,0.9817900571272629
DN101555,0.2577791013677875
DN101600,1.7566380262662422
DN101601,1.0908531799109515
DN101602,0.6881692962854469
DN101603,0.582649803489079
DN101604,0.7491530855027946
DN101606,0.6317996996801039
DN101700,0.4651923039444073
DN101701,2.1134553193876493
DN101702,1.7649571750440662
DN101703,2.2223556630441137
DN101704,0.5373110832704271
DN101705,0.7505769071664862
DN101706,2.120305194267911
DN101710,0.3152858194138223
DN101716,1.8883843662706947
DN101720,2.0250713879527282
DN101725,2.0675908419635407
DN101726,0.6333869070909355
DN101732,1.0712537006625409
DN101735,1.5478123319464858
DN101736,1.0410251570988445
DN101737,1.9358636671693454
DN101738,1.9303656735122852
DN101748,2.907151784172769
DN101750,3.3841219672876006
DN101751,0.1326382452990016
DN101756,1.7472176660442942
DN101757,1.3674139057499826
DN101759,1.65532672383664
DN101760,2.5661785554922747
DN101761,1.7957842463275013
DN101763,0.47500339754907983
DN101764,1.3450322752106532
DN101765,0.9268598568719226
DN101766,3.551364676103524
DN101776,1.007333863793219
DN101777,1.6023722399357838
DN101778,1.5138133641984903
DN101787,0.7862511634802245
DN101788,1.6824281922730404
DN101789,2.066686261707453
DN101794,1.3275231009511472
DN101796,1.7205734192867013
DN101798,1.4261390227756194
DN101798B,1.7115756374865283
DN1019,0.016232608184680405
DN102,22.296699472444914
DN1020,0.06461473674249463
DN1024,0.017208090276142854
DN1025,0.0540815486215936
DN10252,0.0
DN1026,0.048724105293411674
DN102604,0.1550056459982176
DN102606,0.36162347823455937
DN102700,0.3951140682197879
DN102704,1.7380571494078987
DN102705,0.32515626469172604
DN102706,1.2831897646555768
DN102710,0.4681247101624094
DN102716,2.9221734184949493
DN102720,2.393918976504116
DN102725,2.8513846475407676
DN102726,0.3782087765401527
DN102732,2.809901110406801
DN102735,2.2555670636595515
DN102736,1.7140281357665303
DN102737,1.7118588314439644
DN102738,1.6578412759861245
DN102748,0.9752887716516869
DN102750,1.802575174897751
DN102751,1.8708494373747973
DN102756,1.596375485098646
DN102757,1.794957897663759
DN102759,1.8687154112531532
DN102760,2.856611425165688
DN102761,0.6561959714745066
DN102763,2.0213722499136932
DN102764,2.7271147889117997
DN102765,1.782741181356199
DN102776,1.901288051035686
DN102777,1.4146674893237674
DN102778,1.4325247532407175
DN102786,2.370493675547446
DN102787,1.8487014058094395
DN102788,1.4930378769956416
DN102794,1.6062545819962535
DN102796,1.8793041730469335
DN102798,0.9695718854023851
DN102798B,1.1254251596849707
DN103100,0.6660817068582474
DN103101,0.4969760215900178
DN103110,1.1332244715374886
DN103130,0.7638433808098295
DN103150,0.21042113126904194
DN103151,0.2710660698284658
DN103160,0.3473297826327779
DN103161,0.3264226276382042
DN103171,0.12149033190219827
DN103211,0.3224021069250853
DN103220,0.37554128829678957
DN103300,0.7266927404713848
DN104200,0.9075081133705005
DN104300,0.5536241932540045
DN104301,0.36154262358718536
DN104303,0.9133269837785787
DN104303B,0.3284501764138989
DN104350,0.11382912162628873
DN104351,0.3976057921486327
DN104353,0.6704139959184341
DN104353B,0.3630646642218087
DN105,2.874645319034146
DN105100,0.762886859667445
DN105200,0.28474877872724014
DN105350,0.9259077120663493
DN1067,0.015062550303528325
DN1068,0.057461633539185944
DN1069,3.4101350721943975
DN1070,12.283805162849502
DN107100,0.9578205202522856
DN107251,0.5773414122238796
DN107261,0.5033967791099423
DN107361,0.468174815775369
DN107370,0.5350706239174545
DN107371,0.40320740832318813
DN107380,0.41718449926349116
DN107381,0.2948717569138771
DN107430,0.2953366683161859
DN107431,0.3441615847629105
DN107451,0.3718717250044653
DN107461,0.4175178507548253
DN107471,0.38883304973094784
DN107480,0.6991471710387092
DN107500,0.3467572795254654
DN107501,0.27809750299169145
DN107550,0.12240371181083387
DN107551,0.27809750299167885
DN1084,17.727917099097525
DN108401,0.32189141776880964
DN108403,0.34206595183387445
DN108403B,0.10613126124445914
DN10841,18.23399972282057
DN10842,10.670220513071202
DN1085,9.100217088250488
DN1086,9.14014780574952
DN10861,9.7601
DN108631,0.372005175030652
DN108632,0.36479347881652924
DN108633,0.6498576962058159
DN108633B,0.2616622083209526
DN108651,0.3736797097370168
DN108653,0.4732864744879963
DN108653B,0.1764521125757158
DN1087,9.8501
DN109450,0.2532251733401151
DN109451,0.27826570281959795
DN109992,0.625849204581439
DN109993,0.7260792243725063
DN109995,0.29495281032518683
DN1100,0.037426147610157195
DN1105,0.034681025890885994
DN11051,0.0
DN1106,0.022273773327160067
DN1107,0.03357402981111715
DN1108,0.01810477302513002
DN1109,0.01586237922307386
DN110997,0.5144910517397556
DN110998,0.25248005528444106
DN110999,0.3029415256910021
DN1110,0.042427454141448336
DN1111,0.038047188244434565
DN1112,0.033071205697582366
DN1113,0.02675068429044899
DN1114,0.01574139855762991
DN1120,0.06689789183897821
DN1121,0.049084518253554664
DN1122,0.04050267272776978
DN1123,0.034092837038146
DN1124,0.026751910056020733
DN1125,0.0
DN113,1.3434897547019249
DN113060,1.0752122712914085
DN113070,0.3680062459141725
DN113080,1.132556547111562
DN113110,0.36014664061289337
DN113120,0.5867927251706837
DN113130,0.3764712322891065
DN113140,0.5305612017595078
DN113143B,0.7078559631860697
DN113150,1.2215362925061837
DN113160,1.297434576447932
DN113250,0.6644287403609809
DN113350,0.45255019054253887
DN113360,0.7507940391933542
DN113370,0.9242617676713488
DN114100,0.3750850756860576
DN114151,0.7175290304405089
DN114200,1.0088294902946622
DN114251,0.6795054457514413
DN114301,0.6643061168644077
DN114321,0.550751519760244
DN114331,0.35591267344685074
DN114340,0.7958977428349732
DN114341,0.6527809486224939
DN114350,0.7214617078140365
DN114351,0.36218902139151093
DN114361,0.34070354572388073
DN114371,0.5610115764753834
DN114401,0.4638410664343905
DN114411,0.8248818870740119
DN114421,0.5359904533419646
DN114451,0.533198638031007
DN114471,0.5453315752099117
DN114500,0.49270791730719365
DN114501,0.5515255256215323
DN114511,0.39579513865446314
DN114521,0.6178442768836323
DN114531,0.6150830632061841
DN114550,0.7342269105580763
DN114551,0.3452643234297239
DN114561,0.6097116425896167
DN114571,0.6053956885976064
DN114581,0.6011961324369439
DN114600,0.08691993225317557
DN114601,0.3423055170653248
DN114611,0.47942730286929697
DN114651,0.24385012347353358
DN114701,0.9076187078312254
DN114710,0.27522076505015813
DN114730,0.1985026312016619
DN114740,0.3108124539005256
DN114751,0.6667557416652632
DN114770,0.2465637855139094
DN114780,0.7824836907890552
DN114800,0.763278026257494
DN114850,0.7253403889235823
DN114901,0.7692921748378378
DN114910,0.7492731267737542
DN115,1.3957101080351237
DN1151,1.0104888978896511
DN1152,0.8696907951958011
DN1153,0.7671696441115976
DN1156,0.10293901778089876
DN1157,0.04797483395333654
DN1158,0.05939489975336229
DN1159,0.052643355584963525
DN1160,0.04851975005653077
DN116050,0.5294525059984473
DN116051,0.14184489541919526
DN1161,0.044600480867704975
DN1162,0.04219482466324996
DN1163,0.03588443361860714
DN1164,0.030505167910804758
DN1165,0.021774256602107453
DN1166,0.01286019226023582
DN1172,0.014453828334526271
DN1173,0.0
DN1174,0.032393330111460866
DN117400,0.2182762002383563
DN117404,0.09743103758405289
DN117405,0.09743103758407576
DN117406,0.4741081242672007
DN117410,0.38780084758813504
DN117430,0.0010980415355151022
DN117440,0.2752347283401277
DN117441,0.19570222544358923
DN117442,0.15239521195986278
DN117443,0.3596780087596593
DN117450,1.580442893451205
DN1175,0.08378839559674453
DN1176,0.09251833001526051
DN1177,0.0874126344417072
DN117750,0.31494083654984484
DN117751,0.5015913192854019
DN117752,1.2064875504993853
DN1178,0.08451481958677484
DN117801,0.29140417568216626
DN117802,0.4263815033727978
DN117811,0.21101297166558897
DN117812,0.5975851430651385
DN117840,0.29007179364278024
DN1179,0.0806166990440989
DN117930,0.137922365181758
DN117931,0.13792236007135486
DN117932,0.3547655172594073
DN117933,0.3546446674569591
DN117934,0.4280957885134903
