Node,Full_Depth,Max_depth(SWMM),basement flooding
DN102787,50.0,1.85,0
DN102788,50.0,1.49,0
DN102794,50.0,1.61,0
DN102796,50.0,1.88,0
DN102798,50.0,0.97,0
DN102798B,50.0,1.13,0
DN103100,50.0,0.67,0
DN103101,50.0,0.5,0
DN103110,50.0,1.13,0
DN103130,50.0,0.76,0
DN103150,50.0,0.21,0
DN103151,50.0,0.27,0
DN103160,50.0,0.35,0
DN103161,50.0,0.33,0
DN103171,50.0,0.12,0
DN103211,50.0,0.32,0
DN103220,50.0,0.38,0
DN103300,50.0,0.73,0
DN104200,50.0,0.91,0
DN104300,50.0,0.55,0
DN104301,50.0,0.36,0
DN104303,50.0,0.91,0
DN104303B,50.0,0.33,0
DN104350,50.0,0.11,0
DN104351,50.0,0.4,0
DN104353,50.0,0.67,0
DN104353B,50.0,0.36,0
DN105,10.25,2.87,1
DN105100,50.0,0.76,0
DN105200,50.0,0.28,0
DN105350,50.0,0.93,0
DN1067,10.14,0.02,0
DN1068,5.55,0.07,1
DN1069,3.41,3.41,1
DN1070,13.76,10.59,1
DN107100,50.0,0.96,0
DN107251,50.0,0.58,0
DN107261,50.0,0.5,0
DN107361,50.0,0.47,0
DN107370,50.0,0.54,0
DN107371,50.0,0.4,0
DN107380,50.0,0.42,0
DN107381,50.0,0.29,0
DN107430,50.0,0.3,0
DN107431,50.0,0.34,0
DN107451,50.0,0.37,0
DN107461,50.0,0.42,0
DN107471,50.0,0.39,0
DN107480,50.0,0.7,0
DN107500,50.0,0.35,0
DN107501,50.0,0.28,0
DN107550,50.0,0.12,0
DN107551,50.0,0.28,0
DN1084,20.67,16.3,1
DN108401,50.0,0.32,0
DN108403,50.0,0.34,0
DN108403B,50.0,0.11,0
DN10841,21.94,16.68,1
DN10842,10.67,10.67,1
DN1085,9.1,9.1,1
DN1086,9.14,9.14,1
DN10861,9.76,9.76,1
DN108631,50.0,0.37,0
DN108632,50.0,0.36,0
DN108633,50.0,0.65,0
DN108633B,50.0,0.26,0
DN108651,50.0,0.37,0
DN108653,50.0,0.47,0
DN108653B,50.0,0.18,0
DN1087,9.85,9.85,1
DN109450,50.0,0.25,0
DN109451,50.0,0.28,0
DN109992,50.0,0.63,0
DN109993,50.0,0.73,0
DN109995,50.0,0.29,0
DN1100,13.59,0.04,0
DN1105,16.52,0.03,0
DN11051,10.47,0.0,0
